model,family,tier,title,year,item,set,lambda,lambda_z,rank,matches
Claude Haiku 4.5,Anthropic,Small,Spirited Away,2001,Spirited Away (2001),A,0.1878,1.8340578561179772,1,165
Claude Haiku 4.5,Anthropic,Small,The Godfather,1972,The Godfather (1972),A,0.185,1.8067130833557623,2,163
Claude Haiku 4.5,Anthropic,Small,Raiders of the Lost Ark,1981,Raiders of the Lost Ark (1981),A,0.179,1.7481171417224446,3,276
Claude Haiku 4.5,Anthropic,Small,The Dark Knight,2008,The Dark Knight (2008),A,0.1699,1.6592466302452464,4,274
Claude Haiku 4.5,Anthropic,Small,E.T. The Extra-Terrestrial,1982,E.T. The Extra-Terrestrial (1982),A,0.1698,1.6582700312180245,5,274
Claude Haiku 4.5,Anthropic,Small,Yojimbo,1961,Yojimbo (1961),B,0.1696,1.6563168331635805,6,269
Claude Haiku 4.5,Anthropic,Small,Pather Panchali,1955,Pather Panchali (1955),B,0.1652,1.6133464759658145,7,243
Claude Haiku 4.5,Anthropic,Small,Withnail & I,1987,Withnail & I (1987),B,0.1632,1.593814495421375,8,315
Claude Haiku 4.5,Anthropic,Small,Jaws,1975,Jaws (1975),A,0.1564,1.5274057615702819,9,326
Claude Haiku 4.5,Anthropic,Small,Back to the Future,1985,Back to the Future (1985),A,0.1545,1.5088503800530646,10,244
Claude Haiku 4.5,Anthropic,Small,Woman in the Dunes,1964,Woman in the Dunes (1964),B,0.153,1.494201394644735,11,268
Claude Haiku 4.5,Anthropic,Small,Se7en,1995,Se7en (1995),A,0.144,1.4063074821947585,12,265
Claude Haiku 4.5,Anthropic,Small,Once Upon a Time in the West,1968,Once Upon a Time in the West (1968),B,0.1435,1.4014244870586487,13,243
Claude Haiku 4.5,Anthropic,Small,Cinema Paradiso,1988,Cinema Paradiso (1988),B,0.1392,1.3594307288881045,14,284
Claude Haiku 4.5,Anthropic,Small,Schindler's List,1993,Schindler's List (1993),A,0.1385,1.352594535697551,15,350
Claude Haiku 4.5,Anthropic,Small,Parasite,2019,Parasite (2019),A,0.1363,1.3311093570986678,16,252
Claude Haiku 4.5,Anthropic,Small,High and Low,1963,High and Low (1963),B,0.1317,1.2861858018464576,17,238
Claude Haiku 4.5,Anthropic,Small,Cléo from 5 to 7,1962,Cléo from 5 to 7 (1962),B,0.1315,1.2842326037920138,18,254
Claude Haiku 4.5,Anthropic,Small,WALL-E,2008,WALL-E (2008),A,0.1298,1.2676304203292403,19,254
Claude Haiku 4.5,Anthropic,Small,Amadeus,1984,Amadeus (1984),B,0.1284,1.2539580339481327,20,234
Claude Haiku 4.5,Anthropic,Small,La Belle et la Bête,1946,La Belle et la Bête (1946),B,0.127,1.2402856475670254,21,317
Claude Haiku 4.5,Anthropic,Small,Sansho the Bailiff,1954,Sansho the Bailiff (1954),B,0.1243,1.2139174738320326,22,298
Claude Haiku 4.5,Anthropic,Small,Persona,1966,Persona (1966),B,0.1238,1.2090344786959228,23,278
Claude Haiku 4.5,Anthropic,Small,Beauty and the Beast,1991,Beauty and the Beast (1991),C,0.1219,1.1904790971787056,24,326
Claude Haiku 4.5,Anthropic,Small,Portrait of a Lady on Fire,2019,Portrait of a Lady on Fire (2019),B,0.1208,1.179736507879264,25,225
Claude Haiku 4.5,Anthropic,Small,The Silence of the Lambs,1991,The Silence of the Lambs (1991),A,0.1203,1.1748535127431543,26,269
Claude Haiku 4.5,Anthropic,Small,Solaris,1972,Solaris (1972),B,0.1169,1.1416491458176077,27,230
Claude Haiku 4.5,Anthropic,Small,Ran,1985,Ran (1985),B,0.1165,1.1377427497087198,28,269
Claude Haiku 4.5,Anthropic,Small,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train (2020),C,0.1144,1.1172341701370587,29,290
Claude Haiku 4.5,Anthropic,Small,Ocean's Eleven,2001,Ocean's Eleven (2001),C,0.1106,1.0801234071026242,30,282
Claude Haiku 4.5,Anthropic,Small,The Seventh Seal,1957,The Seventh Seal (1957),B,0.1098,1.0723106148848485,31,240
Claude Haiku 4.5,Anthropic,Small,Pyaasa,1957,Pyaasa (1957),B,0.1088,1.0625446246126287,32,224
Claude Haiku 4.5,Anthropic,Small,Videodrome,1983,Videodrome (1983),B,0.108,1.0547318323948531,33,303
Claude Haiku 4.5,Anthropic,Small,Toy Story,1995,Toy Story (1995),A,0.1059,1.0342232528231918,34,278
Claude Haiku 4.5,Anthropic,Small,Jurassic Park,1993,Jurassic Park (1993),A,0.1055,1.0303168567143042,35,247
Claude Haiku 4.5,Anthropic,Small,The Empire Strikes Back,1980,The Empire Strikes Back (1980),A,0.1049,1.0244572625509722,36,225
Claude Haiku 4.5,Anthropic,Small,Ratatouille,2007,Ratatouille (2007),C,0.1042,1.0176210693604186,37,285
Claude Haiku 4.5,Anthropic,Small,Day for Night,1973,Day for Night (1973),B,0.104,1.0156678713059748,38,285
Claude Haiku 4.5,Anthropic,Small,Your Name.,2016,Your Name. (2016),C,0.1014,0.9902762965982038,39,289
Claude Haiku 4.5,Anthropic,Small,Inside Out,2015,Inside Out (2015),C,0.1009,0.985393301462094,40,320
Claude Haiku 4.5,Anthropic,Small,The Matrix,1999,The Matrix (1999),A,0.0991,0.9678145189720986,41,297
Claude Haiku 4.5,Anthropic,Small,Vivre sa vie,1962,Vivre sa vie (1962),B,0.0976,0.9531655335637693,42,292
Claude Haiku 4.5,Anthropic,Small,Mad Max: Fury Road,2015,Mad Max: Fury Road (2015),A,0.0948,0.9258207608015544,43,278
Claude Haiku 4.5,Anthropic,Small,The Passion of Joan of Arc,1928,The Passion of Joan of Arc (1928),B,0.0931,0.9092185773387811,44,257
Claude Haiku 4.5,Anthropic,Small,Pulp Fiction,1994,Pulp Fiction (1994),A,0.0878,0.8574588288960172,45,217
Claude Haiku 4.5,Anthropic,Small,Saving Private Ryan,1998,Saving Private Ryan (1998),A,0.0876,0.8555056308415733,46,241
Claude Haiku 4.5,Anthropic,Small,Close Encounters of the Third Kind,1977,Close Encounters of the Third Kind (1977),A,0.0875,0.8545290318143512,47,277
Claude Haiku 4.5,Anthropic,Small,"Crouching Tiger, Hidden Dragon",2000,"Crouching Tiger, Hidden Dragon (2000)",A,0.0866,0.8457396405693536,48,277
Claude Haiku 4.5,Anthropic,Small,Ghostbusters,1984,Ghostbusters (1984),A,0.0866,0.8457396405693536,49,226
Claude Haiku 4.5,Anthropic,Small,Terminator 2: Judgment Day,1991,Terminator 2: Judgment Day (1991),A,0.0861,0.8408566454332438,50,243
Claude Haiku 4.5,Anthropic,Small,Get Out,2017,Get Out (2017),A,0.0836,0.8164416697526948,51,214
Claude Haiku 4.5,Anthropic,Small,The Lord of the Rings: The Fellowship of the Ring,2001,The Lord of the Rings: The Fellowship of the Ring (2001),A,0.0826,0.8066756794804754,52,219
Claude Haiku 4.5,Anthropic,Small,The Spirit of the Beehive,1973,The Spirit of the Beehive (1973),B,0.0817,0.7978862882354776,53,327
Claude Haiku 4.5,Anthropic,Small,Forrest Gump,1994,Forrest Gump (1994),A,0.0765,0.7471031388199356,54,268
Claude Haiku 4.5,Anthropic,Small,Once Upon a Time in America,1984,Once Upon a Time in America (1984),B,0.0761,0.7431967427110479,55,267
Claude Haiku 4.5,Anthropic,Small,All About My Mother,1999,All About My Mother (1999),B,0.0759,0.7412435446566039,56,243
Claude Haiku 4.5,Anthropic,Small,M,1931,M (1931),B,0.0748,0.7305009553571624,57,284
Claude Haiku 4.5,Anthropic,Small,The Sixth Sense,1999,The Sixth Sense (1999),C,0.0737,0.7197583660577208,58,273
Claude Haiku 4.5,Anthropic,Small,"Monsters, Inc.",2001,"Monsters, Inc. (2001)",C,0.0731,0.713898771894389,59,263
Claude Haiku 4.5,Anthropic,Small,Los Olvidados,1950,Los Olvidados (1950),B,0.073,0.7129221728671671,60,197
Claude Haiku 4.5,Anthropic,Small,Home Alone,1990,Home Alone (1990),C,0.0729,0.7119455738399452,61,261
Claude Haiku 4.5,Anthropic,Small,Crimes and Misdemeanors,1989,Crimes and Misdemeanors (1989),B,0.0724,0.7070625787038354,62,244
Claude Haiku 4.5,Anthropic,Small,Raise the Red Lantern,1991,Raise the Red Lantern (1991),B,0.0687,0.6709284146966228,63,227
Claude Haiku 4.5,Anthropic,Small,Apollo 13,1995,Apollo 13 (1995),C,0.0674,0.6582326273427374,64,237
