title,year,set,set_B,set_C,era_f,region,imdb_id,imdb_rating,imdb_votes,log_imdb_votes,tspdt_pos,mojo_rank,log_tspdt,log_mojo,lam_z_claude_sonnet_4_6,lam_z_gpt_5_4_nano_2026_03_17,lam_z_gpt_5_4_2026_03_05,lam_z_claude_haiku_4_5,lam_z_mistral_small_3_2_24b_instruct,lam_z_mistral_large_2512,lam_z_qwen_turbo,lam_z_qwen_plus,ensemble_lam_z,cross_model_sd,ensemble_rank,director,country,language,item_label,wiki_n_languages,wiki_revisions,wiki_length_bytes,log_wiki_revisions,log_wiki_length
The Godfather,1972,A,0,0,1960s_70s,North America,tt0068646,9.2,2224887,14.615216685775945,6.0,729.0,-1.791759469228055,-6.591673732008658,1.949354938159893,1.8915570741547183,1.9274923995354984,1.8067130833557616,1.9009068822331647,1.882047933486876,1.7768117031870452,1.5960690204090342,1.841369129315249,0.1148522888279087,2,"Coppola, Francis Ford",USA,English,The Godfather (1972),100,11797,171585,9.37568530456302,12.05283987762617
Pulp Fiction,1994,A,0,0,1980s_90s,North America,tt0110912,8.8,2434118,14.705095031223028,80.0,894.0,-4.382026634673881,-6.795705775173514,1.738634767273437,1.6217519294354243,1.61523800338369,0.8574588288960169,1.7484733206849838,1.5922428801657094,0.7826900513950003,1.062453347639076,1.3773678911091674,0.4059958375588484,16,"Tarantino, Quentin",USA,English,Pulp Fiction (1994),86,8279,177452,9.021598247379304,12.086461064102489
Jaws,1975,A,0,0,1960s_70s,North America,tt0073195,8.1,737031,13.510385232702072,82.0,276.0,-4.406719247264253,-5.62040086571715,0.124691885390283,0.1323397890744409,1.0301257937721235,1.5274057615702812,0.2467763529578525,0.1516421790634008,0.1907357951006464,0.1765246564972608,0.4475302766782861,0.5313537462949396,65,"Spielberg, Steven",USA,English,Jaws (1975),64,8748,169799,9.076694687106263,12.042376552859384
E.T. The Extra-Terrestrial,1982,A,0,0,1980s_90s,North America,tt0083866,7.9,471773,13.064253216679315,123.0,115.0,-4.812184355372417,-4.74493212836325,0.412755040347423,0.5344883787644462,0.2042566899313593,1.658270031218024,0.6482350398075178,0.1137316342975506,-0.0460459074170951,0.6135511422079686,0.5174052561446493,0.5234047915420069,63,"Spielberg, Steven",USA,English,E.T. The Extra-Terrestrial (1982),61,6652,120421,8.802823159741887,11.698757519417306
Spirited Away,2001,A,0,0,2000s_plus,East Asia,tt0245429,8.6,966343,13.781274122635114,131.0,464.0,-4.875197323201151,-6.139884552226255,1.915418730863572,1.928847216107792,1.9880464062658727,1.8340578561179768,1.9575035016198663,1.9486020009647016,1.9458123839916928,1.8890034401788929,1.925911442013796,0.0473402857255717,1,"Miyazaki, Hayao",Japan,Japanese,Spirited Away (2001),98,5832,118552,8.671286726753637,11.683115396951518
Star Wars,1977,A,0,0,1960s_70s,North America,tt0076759,8.6,1569418,14.26621540796108,137.0,123.0,-4.919980925828125,-4.812184355372417,0.9612588559507445,0.0197381839612394,1.693301602421642,0.3281421561417146,1.8503472355810453,0.2055593982859434,0.003660175172507,0.0799354694380102,0.6427428846191058,0.7622196050469601,50,"Lucas, George",USA,English,Star Wars (1977),80,13329,259960,9.497772413172754,12.46828689874654
Gone with the Wind,1939,A,0,0,pre1960,North America,tt0031381,8.2,356581,12.784316702004594,141.0,387.0,-4.948759890378168,-5.958424693029782,-0.0363077957364471,-0.68804333389317,-1.1147992639061866,-1.2021885195150963,-0.0633731212812686,-1.2106100628561505,-0.190645420405029,-0.3689667359930971,-0.6093667816983057,0.5118884544908548,141,"Fleming, Victor",USA,English,Gone with the Wind (1939),80,6060,143702,8.709630081951286,11.87550394867592
Raiders of the Lost Ark,1981,A,0,0,1980s_90s,North America,tt0082971,8.4,1109895,13.91977597421957,174.0,405.0,-5.159055299214529,-6.003887067106539,1.881482523567252,1.8747399513131369,1.7633399716519542,1.748117141722444,1.981651392558192,1.831500540465742,0.5621757940884013,1.5683590077281018,1.651420790386903,0.4566196956058163,7,"Spielberg, Steven",USA,English,Raiders of the Lost Ark (1981),67,6359,215331,8.757783656334167,12.279936302126996
Close Encounters of the Third Kind,1977,A,0,0,1960s_70s,North America,tt0075860,7.6,233142,12.35940298897353,180.0,578.0,-5.19295685089021,-6.359573868672377,0.3669806212035487,0.0687271939780219,0.0619912524322877,0.8545290318143509,0.076231873205927,0.081718285384166,0.0479437760250617,0.8035626577343633,0.295210586472216,0.3457429659286217,81,"Spielberg, Steven",USA,English,Close Encounters of the Third Kind (1977),50,2531,93536,7.836764783264067,11.44611235892464
Parasite,2019,A,0,0,2000s_plus,East Asia,tt6751668,8.5,1162447,13.96603782400648,231.0,690.0,-5.442417710521793,-6.536691597591305,1.238273013183501,1.9485890559653007,1.9019575774202808,1.3311093570986672,1.915999314069619,0.9991534687177416,1.9458123839916928,1.8581265689058533,1.642377592419082,0.3870330491169153,8,Bong Joon-ho,South Korea,Korean,Parasite (2019),74,4109,134970,8.32117830749028,11.812815219529744
